inglês,português
you,vocês
I,eu
to,para
the,a
a,uma
and,e
that,naquela
it,isto
of,de
me,Eu
what,que
is,é
in,dentro
this,isto
know,conhecer
I'm,Eu estou
for,por
no,não
have,ter
my,minha
don't,não
just,somente
not,não
do,Faz
be,ser
on,sobre
your,sua
was,foi
we,nós
it's,Está
with,com
so,assim
but,mas
all,tudo
well,bem
are,são
he,ele
about,cerca de
right,direito ou Certo
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,Como
yeah,sim
if,E se
her,dela
she,ela
can,posso
up,acima
want,quer
think,acho
that's,isso é
now,agora
go,vai
him,ele
at,no
how,Como as
got,obteve
there,lá
one,um
did,fez
why,Por quê
see,Vejo
come,venha
good,Boa
they,elas
really,realmente
as,Como
would,seria
look,Veja
when,quando
time,Tempo
will,vai
okay,OK
back,costas
can't,não pode
mean,significar
tell,contar
from,a partir de
hey,Ei
were,estavam
he's,ele é
could,poderia
didn't,não
yes,sim
his,seu
been,fui
or,ou
something,algo
who,Who
because,Porque
some,algum
had,teve
then,então
say,dizer
ok,OK
take,pegar
an,um
way,caminho
us,nós
little,pouco
make,faça
need,necessidade
gonna,vai
never,Nunca
we're,estamos
too,também
love,amar
she's,ela é
I've,Eu tenho
sure,certo
them,eles
more,mais
over,sobre
our,nosso
sorry,Desculpe
where,Onde
what's,o que é
let,deixei
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
has,tem
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,qualquer
life,vida
even,até
off,fora
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensamento
help,ajuda
two,dois
talk,conversa
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nenhuma coisa
again,novamente
things,coisas
let's,vamos
doesn't,não
call,ligar
told,contou
great,excelente
before,antes de
better,Melhor
ever,sempre
night,noite
than,que
away,um jeito
first,primeiro
believe,acreditam
other,de outros
feel,sentir
everything,tudo
work,trabalhos
you've,você tem
fine,multar
home,casa
after,depois de
last,durar
these,esses
day,dia
keep,continuar
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
guy,cara
long,grandes
isn't,não é
always,sempre
listen,ouço
wanted,procurado
Mr.,Senhor.
guys,pessoal
huh,Hã
those,Essa
big,grande
lot,muitos
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
kind,Gentil
wrong,errado
through,Através dos
talking,conversando
made,feito
new,novo
being,sendo
guess,acho
hi,Oi
care,Cuidado
bad,ruim
mom,mãe
remember,lembrar
getting,recebendo
together,juntos
dad,Papai
leave,sair
mother,mãe
place,"Lugar, colocar"
understand,Compreendo
wouldn't,não iria
actually,na verdade
hear,ouvir
baby,bebê
nice,legais
father,pai
else,senão
stay,fique
done,feito
wasn't,não era
their,seus
course,curso
might,poderia
mind,mente
every,todo
enough,o suficiente
try,experimentar
hell,inferno
came,veio
someone,alguém
own,ter
family,família
whole,todo
another,outro
house,casa
yourself,você mesma
idea,idéia
ask,perguntar
best,melhor
must,devo
coming,chegando
old,velho
looking,olhando
woman,mulher
hello,Olá
which,que
years,anos
room,sala
money,dinheiro
left,deixou
knew,sabia
tonight,esta noite
real,real
son,filho
hope,ter esperança
name,nome
same,mesmo
went,fui
happy,feliz
pretty,bonito
saw,viu
girl,menina
sir,senhor
show,exposição
friend,amigo
already,já
saying,dizendo
may,poderia
next,próximo
three,três
job,trabalho
problem,problema
minute,minuto
found,encontrado
world,mundo
thinking,pensando
haven't,não
heard,ouviu
honey,querida
matter,importam
myself,Eu mesmo
couldn't,não podia
exactly,exatamente
having,tendo
probably,provavelmente
happen,acontecer
we've,nós temos
hurt,ferido
boy,Garoto
both,Ambas
while,enquanto
dead,morto
gotta,Tenho que
alone,sozinho
since,Desde a
excuse,com licença
start,começar
kill,matar
hard,Difícil
today,hoje
car,carro
ready,pronto
until,até
without,sem
whatever,qualquer que seja
wants,quer
hold,segure
wanna,quer
yet,ainda
seen,visto
deal,lidar
took,tomou
once,uma vez
gone,foi
called,chamado
morning,manhã
supposed,suposto
friends,amigos
head,cabeça
stuff,coisa
most,a maioria
used,usava
worry,preocupar
second,segundo
part,papel
live,viver
truth,verdade
school,escola
face,cara
forget,esquecer
TRUE,Verdade
business,o negócio
each,cada
cause,causa
soon,em breve
knows,sabe
few,alguns
telling,Dizer
wife,esposa
who's,quem é
use,usar
chance,chance
run,corre
move,jogada
anyone,qualquer um
person,pessoa
bye,tchau
somebody,alguém
doctor,doutor
heart,coração
such,tal
miss,perder
married,casado
point,ponto
later,mais tarde
making,fazer
meet,Conheça
anyway,de qualquer forma
many,muitos
phone,telefone
reason,razão
damn,droga
lost,perdido
looks,visual
bring,trazer
case,caso
turn,vez
wish,desejar
tomorrow,amanhã
kids,crianças
trust,Confiar em
check,Verifica
change,mudança
end,fim
late,atrasado
anymore,não mais
five,cinco
least,ao menos
town,Cidade
aren't,não são
working,trabalhando
year,ano
makes,faz
taking,tirando
means,meios
brother,irmão
play,Toque
hate,ódio
ago,atrás
says,diz
beautiful,lindo
gave,deu
fact,facto
crazy,louco
party,Festa
sit,sentar
open,abrir
afraid,com medo
between,entre
important,importante
rest,descanso
fun,Diversão
kid,criança
word,palavra
watch,ver
glad,Alegre
everyone,todo o mundo
days,dias
sister,irmã
minutes,minutos
everybody,todo o mundo
bit,mordeu
couple,casal
whoa,Uau
either,qualquer
Mrs.,Sra.
feeling,sentimento
daughter,filha
wow,Uau
gets,recebe
asked,Perguntou
under,debaixo
break,pausa
promise,promessa
door,porta
set,definir
close,Fechar
hand,mão
easy,fácil
question,pergunta
doctor,médico
tried,testado
far,distante
walk,andar
needs,precisa
trouble,dificuldade
mine,minha
though,no entanto
times,vezes.
different,diferente
killed,morto
hospital,hospital
anybody,qualquer pessoa
alright,tudo bem
wedding,Casamento
shut,fechar
able,capaz
die,morrer
perfect,perfeito
police,polícia
stand,ficar de pé
comes,vem
hit,bater
story,história
waiting,esperando
dinner,jantar
against,contra
funny,engraçado
husband,esposo
almost,quase
stupid,estúpido
pay,pagar
answer,responder
four,Quatro.
office,escritório
cool,legal
eyes,olhos
news,notícias
child,filho
shouldn't,não deveria
half,metade
side,lateral
yours,Sua
moment,momento
sleep,dorme
read,ler
where's,Onde está a
started,iniciado
young,jovem
men,homens
sounds,sons
lucky,por sorte
pick,escolher
sometimes,às vezes
bed,cama
also,também
date,encontro
line,linha
plan,plano
hours,horas
lose,perder
fire,fogo
free,gratuitamente
hands,mãos
serious,sério
shit,merda
behind,atrás
inside,dentro
high,Alto
ahead,à frente
week,semana
wonderful,Maravilhoso
fight,lutar
past,passado
cut,cortar
quite,bastante
number,número
sick,doente
game,jogos
eat,comer
nobody,ninguém
goes,vai
death,morte
along,ao longo
save,salvar
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,chateado
met,conheceu
book,livro
brought,trouxe
